"city","state","id"
"Emiliano Zapata","Tlaxcala","384"
"San Damián Texoloc","Tlaxcala","385"
"La Magdalena Tlaltelulco","Tlaxcala","386"
"San Francisco Tetlanohcan","Tlaxcala","387"
"San José Teacalco","Tlaxcala","388"
"Santa Isabel Xiloxoxtla","Tlaxcala","389"
"Santa Catarina Ayometla","Tlaxcala","390"
"San Juan Huactzinco","Tlaxcala","391"
"Santa Cruz Quilehtla","Tlaxcala","392"
"Santa Apolonia Teacalco","Tlaxcala","393"
"Zacatelco","Tlaxcala","394"
"Yauhquemecan","Tlaxcala","395"
"Xicohtzinco","Tlaxcala","396"
"Papalotla de Xicohtencatl","Tlaxcala","397"
"Xaltocan","Tlaxcala","398"
"Xaloztoc","Tlaxcala","399"
"Tzompantepec","Tlaxcala","400"
"Zitlaltepec de Trinidad Sánchez Santos","Tlaxcala","401"
"Totolac","Tlaxcala","402"
"Tocatlán","Tlaxcala","403"
"Tlaxco","Tlaxcala","404"
"Tlaxcala","Tlaxcala","405"
"Tetlatlahuca","Tlaxcala","406"
"Tetla de la Solidaridad","Tlaxcala","407"
"Terrenate","Tlaxcala","408"
"Tepeyanco","Tlaxcala","409"
"Teolocholco","Tlaxcala","410"
"Tenancingo","Tlaxcala","411"
"Santa Cruz Tlaxcala","Tlaxcala","412"
"San Pablo del Monte","Tlaxcala","413"
"Panotla","Tlaxcala","414"
"Natívitas","Tlaxcala","415"
"Acuamanala de Miguel Hidalgo","Tlaxcala","416"
"Nanacamilpa de Mariano Arista","Tlaxcala","417"
"Sanctórum de Lázaro Cárdenas","Tlaxcala","418"
"Tepetitla de Lardizábal","Tlaxcala","419"
"Contla de Juan Cuamatzi","Tlaxcala","420"
"Mazatecochco de José María Morelos","Tlaxcala","421"
"Ixtenco","Tlaxcala","422"
"Ixtacuixtla de Mariano Matamoros","Tlaxcala","423"
"Hueyotlipan","Tlaxcala","424"
"Huamantla","Tlaxcala","425"
"Españita","Tlaxcala","426"
"Muñoz de Domingo Arenas","Tlaxcala","427"
"Chiautempan","Tlaxcala","428"
"Cuaxomulco","Tlaxcala","429"
"Cuapiaxtla","Tlaxcala","430"
"El Carmen Tequexquitla","Tlaxcala","431"
"Calpulálpan","Tlaxcala","432"
"Altzayanca","Tlaxcala","433"
"Atlangatepec","Tlaxcala","434"
"Apizaco","Tlaxcala","435"
"Apetatitlán de Antonio Carvajal","Tlaxcala","436"
"Amaxac de Guerrero","Tlaxcala","437"
"Xicoténcatl","Tamaulipas","438"
"Villagrán","Tamaulipas","439"
"Victoria","Tamaulipas","440"
"Valle Hermoso","Tamaulipas","441"
"Tula","Tamaulipas","442"
"Tampico","Tamaulipas","443"
"Soto La Marina","Tamaulipas","444"
"San Nicolás","Tamaulipas","445"
"San Fernando","Tamaulipas","446"
"San Carlos","Tamaulipas","447"
"Río Bravo","Tamaulipas","448"
"Reynosa","Tamaulipas","449"
"Palmillas","Tamaulipas","450"
"Padilla","Tamaulipas","451"
"Ocampo","Tamaulipas","452"
"Nuevo Morelos","Tamaulipas","453"
"Nuevo Laredo","Tamaulipas","454"
"Miquihuana","Tamaulipas","455"
"Miguel Alemán","Tamaulipas","456"
"Mier","Tamaulipas","457"
"Méndez","Tamaulipas","458"
"Matamoros","Tamaulipas","459"
"El Mante","Tamaulipas","460"
"Mainero","Tamaulipas","461"
"Llera","Tamaulipas","462"
"Jiménez","Tamaulipas","463"
"Jaumave","Tamaulipas","464"
"Hidalgo","Tamaulipas","465"
"Gustavo Díaz Ordaz","Tamaulipas","466"
"Guerrero","Tamaulipas","467"
"Güemez","Tamaulipas","468"
"González","Tamaulipas","469"
"Gómez Farías","Tamaulipas","470"
"Cruillas","Tamaulipas","471"
"Ciudad Madero","Tamaulipas","472"
"Casas","Tamaulipas","473"
"Camargo","Tamaulipas","474"
"Bustamante","Tamaulipas","475"
"Burgos","Tamaulipas","476"
"Antiguo Morelos","Tamaulipas","477"
"Altamira","Tamaulipas","478"
"Aldama","Tamaulipas","479"
"Abasolo","Tamaulipas","480"
"Tenosique","Tabasco","481"
"Teapa","Tabasco","482"
"Tacotalpa","Tabasco","483"
"Paraíso","Tabasco","484"
"Nacajuca","Tabasco","485"
"Macuspana","Tabasco","486"
"Jonuta","Tabasco","487"
"Jalpa de Méndez","Tabasco","488"
"Jalapa","Tabasco","489"
"Huimanguillo","Tabasco","490"
"Emiliano Zapata","Tabasco","491"
"Cunduacán","Tabasco","492"
"Comalcalco","Tabasco","493"
"Centro","Tabasco","494"
"Centla","Tabasco","495"
"Cárdenas","Tabasco","496"
"Balancán","Tabasco","497"
"San Ignacio Río Muerto","Sonora","498"
"Benito Juárez","Sonora","499"
"General Plutarco Elías Calles","Sonora","500"
"Yécora","Sonora","501"
"Rosario","Sonora","502"
"Quiriego","Sonora","503"
"Onavas","Sonora","504"
"Navojoa","Sonora","505"
"Huatabampo","Sonora","506"
"Etchojoa","Sonora","507"
"Alamos","Sonora","508"
"Guaymas","Sonora","509"
"Empalme","Sonora","510"
"Cajeme","Sonora","511"
"Bácum","Sonora","512"
"Ures","Sonora","513"
"San Miguel de Horcasitas","Sonora","514"
"San Luis Río Colorado","Sonora","515"
"Rayón","Sonora","516"
"Puerto Peñasco","Sonora","517"
"Pitiquito","Sonora","518"
"Opodepe","Sonora","519"
"Mazatán","Sonora","520"
"Hermosillo","Sonora","521"
"La Colorada","Sonora","522"
"Carbó","Sonora","523"
"Caborca","Sonora","524"
"Villa Pesqueira","Sonora","525"
"Villa Hidalgo","Sonora","526"
"Tubutama","Sonora","527"
"Trincheras","Sonora","528"
"Tepache","Sonora","529"
"Suaqui Grande","Sonora","530"
"Soyopa","Sonora","531"
"Sáric","Sonora","532"
"Santa Cruz","Sonora","533"
"Santa Ana","Sonora","534"
"San Pedro de la Cueva","Sonora","535"
"San Javier","Sonora","536"
"San Felipe de Jesús","Sonora","537"
"Sahuaripa","Sonora","538"
"Oquitoa","Sonora","539"
"Nogales","Sonora","540"
"Nacozari de García","Sonora","541"
"Nácori Chico","Sonora","542"
"Naco","Sonora","543"
"Moctezuma","Sonora","544"
"Magdalena","Sonora","545"
"Imuris","Sonora","546"
"Huépac","Sonora","547"
"Huásabas","Sonora","548"
"Huachinera","Sonora","549"
"Granados","Sonora","550"
"Fronteras","Sonora","551"
"Divisaderos","Sonora","552"
"Cumpas","Sonora","553"
"Cucurpe","Sonora","554"
"Cananea","Sonora","555"
"Benjamín Hill","Sonora","556"
"Bavispe","Sonora","557"
"Baviácora","Sonora","558"
"Banámichi","Sonora","559"
"Bacoachi","Sonora","560"
"Bacerac","Sonora","561"
"Bacanora","Sonora","562"
"Bacadéhuachi","Sonora","563"
"Atil","Sonora","564"
"Arizpe","Sonora","565"
"Arivechi","Sonora","566"
"Altar","Sonora","567"
"Agua Prieta","Sonora","568"
"Aconchi","Sonora","569"
"Navolato","Sinaloa","570"
"Sinaloa","Sinaloa","571"
"San Ignacio","Sinaloa","572"
"Salvador Alvarado","Sinaloa","573"
"Rosario","Sinaloa","574"
"Mocorito","Sinaloa","575"
"Mazatlán","Sinaloa","576"
"Guasave","Sinaloa","577"
"El Fuerte","Sinaloa","578"
"Escuinapa","Sinaloa","579"
"Elota","Sinaloa","580"
"Choix","Sinaloa","581"
"Culiacán","Sinaloa","582"
"Cosalá","Sinaloa","583"
"Concordia","Sinaloa","584"
"Badiraguato","Sinaloa","585"
"Angostura","Sinaloa","586"
"Ahome","Sinaloa","587"
"Matlapa","San Luis Potosí","588"
"El Naranjo","San Luis Potosí","589"
"Zaragoza","San Luis Potosí","590"
"Xilitla","San Luis Potosí","591"
"Axtla de Terrazas","San Luis Potosí","592"
"Villa Juárez","San Luis Potosí","593"
"Villa Hidalgo","San Luis Potosí","594"
"Villa de Reyes","San Luis Potosí","595"
"Villa de Ramos","San Luis Potosí","596"
"Villa de la Paz","San Luis Potosí","597"
"Villa de Guadalupe","San Luis Potosí","598"
"Villa de Arriaga","San Luis Potosí","599"
"Villa de Arista","San Luis Potosí","600"
"Venado","San Luis Potosí","601"
"Vanegas","San Luis Potosí","602"
"Tierra Nueva","San Luis Potosí","603"
"Tanquián de Escobedo","San Luis Potosí","604"
"Tanlajás","San Luis Potosí","605"
"Tamuín","San Luis Potosí","606"
"Tampamolón Corona","San Luis Potosí","607"
"Tampacán","San Luis Potosí","608"
"Tamazunchale","San Luis Potosí","609"
"Tamasopo","San Luis Potosí","610"
"Soledad de Graciano Sánchez","San Luis Potosí","611"
"Santo Domingo","San Luis Potosí","612"
"Santa María del Río","San Luis Potosí","613"
"Santa Catarina","San Luis Potosí","614"
"San Vicente Tancuayalab","San Luis Potosí","615"
"San Nicolás Tolentino","San Luis Potosí","616"
"San Martín Chalchicuautla","San Luis Potosí","617"
"San Luis Potosí","San Luis Potosí","618"
"San Ciro de Acosta","San Luis Potosí","619"
"San Antonio","San Luis Potosí","620"
"Salinas","San Luis Potosí","621"
"Rioverde","San Luis Potosí","622"
"Rayón","San Luis Potosí","623"
"Moctezuma","San Luis Potosí","624"
"Mexquitic de Carmona","San Luis Potosí","625"
"Matehuala","San Luis Potosí","626"
"Lagunillas","San Luis Potosí","627"
"Huehuetlán","San Luis Potosí","628"
"Guadalcázar","San Luis Potosí","629"
"Ebano","San Luis Potosí","630"
"Charcas","San Luis Potosí","631"
"Coxcatlán","San Luis Potosí","632"
"Ciudad Valles","San Luis Potosí","633"
"Tancanhuitz","San Luis Potosí","634"
"Ciudad Fernández","San Luis Potosí","635"
"Ciudad del Maíz","San Luis Potosí","636"
"Cerro de San Pedro","San Luis Potosí","637"
"Cerritos","San Luis Potosí","638"
